Nome,Generazione,Rarità,Attacco,Difesa,Valore_Punti
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Pikachu,1,Rara,67,56,6
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Pikachu,1,Rara,67,56,6
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Pikachu,1,Rara,67,56,6
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Pikachu,1,Rara,67,56,6
Bulbasaur,1,Non Comune,14,64,3
Bulbasaur,1,Non Comune,14,64,3
Pikachu,1,Rara,67,56,6
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Pikachu,1,Rara,67,56,6
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Pikachu,1,Rara,67,56,6
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Pikachu,1,Rara,67,56,6
Charmander,1,Comune,49,30,1
Pikachu,1,Rara,67,56,6
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Pikachu,1,Rara,67,56,6
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Pikachu,1,Rara,67,56,6
Charmander,1,Comune,49,30,1
Charmander,1,Comune,49,30,1
Bulbasaur,1,Non Comune,14,64,3
Charmander,1,Comune,49,30,1
Umbreon,2,Non Comune,22,11,3
Bulbasaur,1,Non Comune,14,64,3
Espeon,2,Comune,25,42,1
Mewtwo,1,Comune,70,69,1
Togepi,2,Rara,72,72,6
